6:15 DLC "DLC LOOP 12"
 6:15-150 HMS-S/D/M/SA "D/L12/DW2320/MCP150/Entry dr Psg"
 6:15-151 HFP-11 "D/L12/DW1070/SD151/Cab 1"
 6:15-152 HFP-11 "D/L12/DW1070/SD152/Reception are"
 6:15-153 HFP-11 "D/L12/DW1070/SD153/Pantry"
 6:15-154 HTRI-R "D/L12/DW1070/CM154/Entry dr psg"

 
 6:15-155 HMS-S/D/M/SA "D/L12/DW1070/MCP155/Entry dr psg"
 6:15-156 HFP-11 "D/L12/DW4101/SD156/Main cab"
 6:15-157 HFP-11 "D/L12/DW4101/SD157/Main cab"
 6:15-158 HFP-11 "D/L12/DW4101/SD158/Assorter cab "
 6:15-159 HFP-11 "D/L12/DW4101/SD159/Assorter cab "
 6:15-160 HFP-11 "D/L12/DW4101/SD160/Assorter cab "
 6:15-161 HFP-11 "D/L12/DW4101/SD161/Accounts cab"
 6:15-162 HFP-11 "D/L12/DW4101/SD162/Psg nr Acc ca"
 6:15-163 HFPT-11 "D/L12/DW4101/HD163/Pantry psg"
 6:15-164 HTRI-R "D/L12/DW4101/CM164/Entry dr psg"

 
 6:15-165 HMS-S/D/M/SA "D/L12/DW4101/MCP165/Entry dr psg"
 6:15-167 HFP-11 "D/L12/DW4112/SD167/Main cab"
 6:15-168 HFP-11 "D/L12/DW4112/SD168/Assorter cab"
 6:15-169 HFP-11 "D/L12/DW4112/SD169/Assorter cab"
 6:15-170 HFPT-11 "D/L12/DW4112/HD170/Pantry"
 6:15-171 HTRI-R "D/L12/DW4112/CM171/AFC Pantry"

 
 6:15-172 HMS-S/D/M/SA "D/L12/DW4112/MCP172/Psg nr pantr"
 6:15-173 HFP-11 "D/L12/DW4260/SD173/Main cab"
 6:15-174 HFP-11 "D/L12/DW4260/SD174/Assorter cab"
 6:15-175 HFPT-11 "D/L12/DW4260/SD175/Psg nr Assort"
 6:15-176 HTRI-R "D/L12/DW4260/CM176/AFC Entry dr"

 
 6:15-177 HMS-S/D/M/SA "D/L12/DW4260/MCP177/Entry dr psg"
 6:15-178 HFP-11 "D/L12/DW3100/SD178/Psg.Nr.Pantry"
 6:15-179 HFP-11 "D/L12/DW1060/SD179/Entry Psg."
 6:15-180 HFP-11 "D/L12/DW3200/SD180/psgNrMain cab"
6:16 PSC-12 "PSC-12 @ address 12"
6:16-1 PSC" @ 012:001 - Common Alarm"
